name;parent_id;message
Calçados;;"json_decode error: Syntax error"
Alpargata;Calçados;"parent_id not found"
Babuche;Calçados;"parent_id not found"
Bota;Calçados;"parent_id not found"
Chinelo;Calçados;"parent_id not found"
Chuteira;Calçados;"parent_id not found"
Sandália;Calçados;"parent_id not found"
Sapatênis;Calçados;"parent_id not found"
Sapatilha;Calçados;"parent_id not found"
Sapato;Calçados;"parent_id not found"
Tênis;Calçados;"parent_id not found"
Roupas;;"json_decode error: Syntax error"
"Bermuda e Short";Roupas;"parent_id not found"
"Body e Culote";Roupas;"parent_id not found"
Blusa;Roupas;"parent_id not found"
Calça;Roupas;"parent_id not found"
Camisa;Roupas;"parent_id not found"
Camiseta;Roupas;"parent_id not found"
"Casaco e Jaqueta";Roupas;"parent_id not found"
Conjunto;Roupas;"parent_id not found"
Fantasia;Roupas;"parent_id not found"
Moletom;Roupas;"parent_id not found"
"Malha e Suéter";Roupas;"parent_id not found"
"Macacão e Macaquinho";Roupas;"parent_id not found"
"Moda Íntima";Roupas;"parent_id not found"
Calcinha;"Moda Íntima";"parent_id not found"
Ceroula;"Moda Íntima";"parent_id not found"
"Combinação de Anágua";"Moda Íntima";"parent_id not found"
Conjunto;"Moda Íntima";"parent_id not found"
Cueca;"Moda Íntima";"parent_id not found"
Meia;"Moda Íntima";"parent_id not found"
"Modelador e Cinta";"Moda Íntima";"parent_id not found"
Sutiã;"Moda Íntima";"parent_id not found"
"Moda Praia";Roupas;"parent_id not found"
Biquíni;"Moda Praia";"parent_id not found"
Body;"Moda Praia";"parent_id not found"
Canga;"Moda Praia";"parent_id not found"
Maiô;"Moda Praia";"parent_id not found"
"Saída de Praia";"Moda Praia";"parent_id not found"
Sunga;"Moda Praia";"parent_id not found"
"Pijama e Camisola";Roupas;"parent_id not found"
Polo;Roupas;"parent_id not found"
Saia;Roupas;"parent_id not found"
Top;Roupas;"parent_id not found"
Vestido;Roupas;"parent_id not found"
Acessórios;;"json_decode error: Syntax error"
Bijuteria;Acessórios;"parent_id not found"
Bolsa;Acessórios;"parent_id not found"
"Boné, Chapéu e Viseira";Acessórios;"parent_id not found"
"Cachecól e Lenço";Acessórios;"parent_id not found"
Canivete;Acessórios;"parent_id not found"
Carteira;Acessórios;"parent_id not found"
Cinto;Acessórios;"parent_id not found"
Estojo;Acessórios;"parent_id not found"
Gorro;Acessórios;"parent_id not found"
Gravata;Acessórios;"parent_id not found"
"Guarda-Chuva e Capa de Chuva";Acessórios;"parent_id not found"
Lancheira;Acessórios;"parent_id not found"
Luva;Acessórios;"parent_id not found"
"Mochila e Mala";Acessórios;"parent_id not found"
Munhequeira;Acessórios;"parent_id not found"
Necessaire;Acessórios;"parent_id not found"
Óculos;Acessórios;"parent_id not found"
"Armação de Óculos";Acessórios;"parent_id not found"
Papelaria;Acessórios;"parent_id not found"
Pasta;Acessórios;"parent_id not found"
Relógio;Acessórios;"parent_id not found"
